1;Heim;1;A071;Worber Sportschützen;Querschleger
1;Gast;1;A001;Aareschützen Kiesen Oppligen;Aare
1;Gast;1;A037;Linden FS;Innerbirrmoos
2;Heim;1;A065;Trimstein Eichi FS;Sius
2;Gast;1;A028;Konolfingen SG;Eiger
3;Heim;1;A048;Oberthal MS;Kapfwald
3;Gast;1;A011;Bowil MS;A-Team
4;Heim;1;A056;Sportschützen Furth;Kobra
4;Gast;1;A029;Konolfingen SG;Galgenhoger
